GEOID,month,EHD_threshold
5135,7,28.895
5135,8,28.815
5137,6,26.656002
5137,7,28.775002
5137,8,28.718
5139,6,28.097002
5139,7,29.456700299999998
5139,8,29.665698599999995
5141,6,26.485
5141,7,28.584002
5141,8,28.584002
5143,6,26.302315599999993
5143,7,28.36
5143,8,28.398
5145,6,28.133001
5145,7,29.69
5145,8,29.410002
5147,6,28.491001
5147,7,29.725002
5147,8,29.249
5149,6,27.688002
5149,7,29.544551100000003
5149,8,29.457
6001,6,22.054
6001,7,23.810001
6001,8,23.647001
6003,6,16.137001
6003,7,19.438201799999998
6003,8,19.050001
6005,6,24.612001
6005,7,27.194002
6005,8,26.835001
6007,6,26.066002
6007,7,28.279001
6007,8,27.353498
6009,6,24.884
6009,7,27.602
6009,8,27.290499
6011,6,26.259
6011,7,27.987001
6011,8,27.090002
6013,6,23.339
6013,7,24.755001
6013,8,24.479002
6015,6,19.102001
6015,7,22.668001
6015,8,22.167002
6017,6,23.125002
6017,7,26.231
6017,8,25.793974949999992
6019,6,26.099
6019,7,28.638
6019,8,27.894001
6021,6,26.572
6021,7,28.465002
6021,8,27.355001
6023,6,20.072
6023,7,23.796001
6023,8,23.414001
6025,6,33.439003
6025,7,35.665
6025,8,35.546
6027,6,30.81743999999999
6027,7,33.641003
6027,8,32.711002
6029,6,27.666
6029,7,30.138
6029,8,29.383001
6031,6,27.746201999999982
6031,7,29.871002
6031,8,29.012001
6033,6,24.163002
6033,7,27.084002
6033,8,26.4450002
6035,6,19.193
6035,7,22.929
6035,8,21.858002
6037,6,24.872002
6037,7,27.605001
6037,8,27.720001
6039,6,25.721
6039,7,28.428001
6039,8,27.6642005
6041,6,18.695002
6041,7,19.751001
6041,8,19.58902
6043,6,24.484489999999997
6043,7,27.4830003
6043,8,26.998001
6045,6,21.346
6045,7,24.617
6045,8,24.152
6047,6,25.95
6047,7,28.090002
6047,8,27.138
6049,6,18.932001
6049,7,22.885
6049,8,21.792002
6051,6,18.448
6051,7,21.472
6051,8,20.496
6053,6,22.563002
6053,7,25.172
6053,8,24.908
6055,6,24.16793535
6055,7,25.988
6055,8,25.538002
6057,6,23.03275025
6057,7,26.077002
6057,8,25.543001
6059,6,22.04
6059,7,24.85
6059,8,25.708002
6061,6,23.803001
6061,7,26.603
6061,8,26.129002
6063,6,19.831220449999996
6063,7,23.254002
6063,8,22.554
6065,6,32.102
6065,7,34.607002
6065,8,34.1809
6067,6,25.331001
6067,7,27.107
6067,8,26.436
6069,6,24.059002
6069,7,26.84832535
6069,8,26.387001
6071,6,31.8919986
6071,7,34.404003
6071,8,33.656002
6073,6,25.674002
6073,7,28.524002
6073,8,28.896002
6075,6,16.971
6075,7,17.631700000000002
6075,8,18.1934003
6077,6,24.830002
6077,7,26.420601400000006
6077,8,25.756
6079,6,23.229915149999997
6079,7,26.1209
6079,8,25.874
6081,6,18.993
6081,7,20.167002
6081,8,20.071001
6083,6,21.744001
6083,7,24.754002
6083,8,24.708002
6085,6,22.998001
6085,7,25.075
6085,8,24.668001
6087,6,19.436
6087,7,21.307001
6087,8,21.111
6089,6,25.215002
6089,7,28.498001
6089,8,27.496002
6091,6,19.245
6091,7,22.61332435
6091,8,22.03
6093,6,20.459002
6093,7,24.624
6093,8,23.836444999999998
6095,6,24.436
6095,7,25.727001
6095,8,25.28
6097,6,21.533
6097,7,22.686
6097,8,22.7291608
6099,6,25.564001
6099,7,27.711
6099,8,26.872002
6101,6,26.250002
6101,7,27.835001
6101,8,26.855001
6103,6,26.958002
6103,7,29.637001
6103,8,28.517002
6105,6,21.62
6105,7,25.375002
6105,8,24.556002
6107,6,25.678001
6107,7,28.344002
6107,8,27.587002
6109,6,22.051
6109,7,25.257002
6109,8,24.773
6111,6,21.823002
6111,7,24.539001
6111,8,24.938002
6113,6,25.878002
6113,7,27.356
6113,8,26.739
6115,6,25.897001
6115,7,28.162
6115,8,27.346
8001,6,23.724174650000002
8001,7,26.022
8001,8,24.523
8003,6,18.165
8003,7,19.905
8003,8,18.61
8005,6,23.304
8005,7,25.703001
8005,8,24.248001
8007,6,18.876001
8007,7,21.209002
8007,8,20.115002
8009,6,26.209002
8009,7,27.589
8009,8,26.493002
8011,6,26.399002
8011,7,28.021002
8011,8,26.827575149999998
8013,6,21.557001
8013,7,24.239
8013,8,22.87
8014,6,23.824700649999997
8014,7,26.1
8014,8,24.67925
8015,6,16.737001
8015,7,18.783
8015,8,17.406
8017,6,24.947
8017,7,26.839
8017,8,25.614
8019,6,14.371
8019,7,16.636002
8019,8,15.398001
8021,6,16.883001
8021,7,18.697
8021,8,17.526001
8023,6,17.853
8023,7,19.351002
8023,8,18.121
8025,6,25.431002
8025,7,27.195002
8025,8,25.974
8027,6,17.538400399999993
8027,7,19.096
8027,8,18.019001
8029,6,22.812
8029,7,24.999
8029,8,23.462002
8031,6,24.1829001
8031,7,26.427002
8031,8,24.9545511
8033,6,19.861
8033,7,22.204
8033,8,20.871
8035,6,21.250002
8035,7,23.601002
8035,8,22.37
8037,6,17.295
8037,7,19.763
8037,8,18.467001
8039,6,22.046001
8039,7,24.273
8039,8,22.945002
8041,6,22.153002
8041,7,24.081001
8041,8,22.650002
8043,6,21.003
8043,7,22.995
8043,8,21.731
8045,6,20.798
8045,7,23.385404049999998
8045,8,21.853
8047,6,16.272300849999997
8047,7,18.690399999999997
8047,8,17.345400599999998
8049,6,15.102001
8049,7,17.401001
8049,8,16.161001
8051,6,16.275002
8051,7,18.543001
8051,8,17.268002
8053,6,13.259001
8053,7,14.996
8053,8,13.784
8055,6,21.644001
8055,7,23.54
8055,8,22.222
8057,6,14.383
8057,7,16.722
8057,8,15.536001
8059,6,20.6
8059,7,23.172
8059,8,21.928001
8061,6,25.728
8061,7,27.398
8061,8,26.137001
8063,6,24.371
8063,7,26.366001
8063,8,25.184002
8065,6,12.573001
8065,7,14.453001
8065,8,13.257001
8067,6,20.173
8067,7,22.564001
8067,8,21.265001
8069,6,19.541
8069,7,22.43
8069,8,21.126001
8071,6,24.024002
8071,7,25.657001
8071,8,24.425001
8073,6,23.453001
8073,7,25.4930013
8073,8,24.207
8075,6,23.943
8075,7,26.539001
8075,8,25.085001
8077,6,23.773
8077,7,26.22594169999998
8077,8,24.517002
8079,6,13.4140005
8079,7,15.294001
8079,8,14.185
8081,6,20.595001
8081,7,23.482
8081,8,22.005001
8083,6,22.842001
8083,7,25.215002
8083,8,23.806002
8085,6,22.497002
8085,7,24.646002
8085,8,23.1094
8087,6,23.844002
8087,7,26.19
8087,8,24.635
8089,6,25.978
8089,7,27.574001
8089,8,26.383001
8091,6,17.705
8091,7,19.799002
8091,8,18.425001
8093,6,15.053
8093,7,16.997002
8093,8,15.773001
8095,6,24.292002
8095,7,26.503002
8095,8,25.174002
8097,6,15.992001
8097,7,18.399
8097,8,17.17
8099,6,26.385002
8099,7,27.956001
8099,8,26.821001
8101,6,24.666
8101,7,26.373001
8101,8,25.005001
8103,6,21.223001
8103,7,24.039090899999977
8103,8,22.426
8105,6,16.373001
8105,7,18.146
8105,8,17.056002
8107,6,16.898
8107,7,19.776001
8107,8,18.604
8109,6,16.802
8109,7,18.568779700000004
8109,8,17.386002
8111,6,12.106001
8111,7,13.751
8111,8,12.585799999999999
8113,6,20.931002
8113,7,23.286001
8113,8,21.897524999999995
8115,6,24.381
8115,7,26.820002
8115,8,25.477001
8117,6,13.456
8117,7,15.516001
8117,8,14.258850849999991
8119,6,16.558
8119,7,18.145
8119,8,17.026001
8121,6,23.837002
8121,7,26.230001
8121,8,24.789001
8123,6,22.857
8123,7,25.142002
8123,8,23.685001
8125,6,24.789001
8125,7,26.828001
8125,8,25.475
9001,6,23.767
9001,7,26.064001
9001,8,25.274002
9003,6,23.919
9003,7,26.07302185
9003,8,25.091430050000003
9005,6,22.546001
9005,7,24.373001
9005,8,23.362001
9007,6,23.189001
9007,7,25.581001
9007,8,24.802002
9009,6,23.371
9009,7,25.769001
9009,8,25.083151999999995
9011,6,22.680901799999994
9011,7,25.246
9011,8,24.525699999999997
9013,6,22.627
9013,7,24.795002
9013,8,23.962002
9015,6,22.62399955
9015,7,24.812
9015,8,24.006
10001,6,26.159
10001,7,27.87
10001,8,26.689001
10003,6,26.155
10003,7,27.843
10003,8,26.699001
10005,6,26.29
10005,7,28.005001
10005,8,26.775002
11001,6,27.08435165
11001,7,28.8810015
11001,8,27.902501
12001,6,28.348001
12001,7,28.640001
12001,8,28.637001
12003,6,28.136002
12003,7,28.716002
12003,8,28.54
12005,6,28.349
12005,7,28.912
12005,8,28.936
12007,6,28.293001
12007,7,28.593
12007,8,28.600002
12009,6,28.184002
12009,7,28.78
12009,8,28.840002
12011,6,29.010002
12011,7,29.592001
12011,8,29.689001
12013,6,28.394001
12013,7,28.77
12013,8,28.692200599999996
12015,6,28.501001
12015,7,28.864002
12015,8,29.028002
12017,6,28.178001
12017,7,28.707
12017,8,28.663002
12019,6,28.476002
12019,7,28.846
12019,8,28.834002
12021,6,28.703001
12021,7,29.409002
12021,8,29.626001
12023,6,28.258001
12023,7,28.844002
12023,8,28.675724449999997
12027,6,28.19
12027,7,28.519001
12027,8,28.664001
12029,6,28.002
12029,7,28.644001
12029,8,28.597002
12031,6,28.824001
12031,7,29.483002
12031,8,29.262001
12033,6,28.475002
12033,7,29.232201999999997
12033,8,29.135002
12035,6,28.138
12035,7,28.747226099999995
12035,8,28.691002
12037,6,28.114002
12037,7,28.769001
12037,8,28.77
12039,6,28.276001
12039,7,28.660002
12039,8,28.643002
12041,6,28.1667394
12041,7,28.568
12041,8,28.453001
12043,6,28.3663202
12043,7,28.822
12043,8,28.933
12045,6,28.211
12045,7,28.729002
12045,8,28.715002
12047,6,28.317001
12047,7,28.969002
12047,8,28.797
12049,6,28.237001
12049,7,28.655
12049,8,28.821001
12051,6,28.437002
12051,7,28.961
12051,8,29.048002
12053,6,28.18767475
12053,7,28.622002
12053,8,28.679
12055,6,28.313002
12055,7,28.763
12055,8,28.890001
12057,6,28.702002
12057,7,29.098001
12057,8,29.204525099999994
12059,6,28.151001
12059,7,28.809002
12059,8,28.597002
12061,6,28.12
12061,7,28.593
12061,8,28.886725
12063,6,28.875002
12063,7,29.242
12063,8,29.096
12065,6,28.174002
12065,7,28.669
12065,8,28.696001
12067,6,28.164001
12067,7,28.764002
12067,8,28.616001
12069,6,28.6139
12069,7,29.065
12069,8,29.067001
12071,6,29.02912575
12071,7,29.389002
12071,8,29.474
12073,6,28.621002
12073,7,29.0170015
12073,8,29.016
12075,6,28.174002
12075,7,28.694002
12075,8,28.69491415
12077,6,28.197
12077,7,28.658
12077,8,28.703001
12079,6,28.313002
12079,7,28.831001
12079,8,28.777
12081,6,28.23590405
12081,7,28.734001
12081,8,28.910002
12083,6,28.463001
12083,7,28.737001
12083,8,28.738
12085,6,28.284
12085,7,28.921001
12085,8,28.95665
12086,6,28.897001
12086,7,29.425001
12086,8,29.579
12087,6,29.237001
12087,7,29.782001
12087,8,29.925001
12089,6,28.458052000000002
12089,7,29.208002
12089,8,28.948002
12091,6,28.363
12091,7,29.032001
12091,8,28.957
12093,6,28.210001
12093,7,28.760002
12093,8,28.907001
12095,6,28.801
12095,7,29.302002
12095,8,29.336
12097,6,28.302002
12097,7,28.802002
12097,8,28.947
12099,6,28.294
12099,7,28.864002
12099,8,28.966002
12101,6,28.361002
12101,7,28.773
12101,8,28.871002
12103,6,28.932001
12103,7,29.429
12103,8,29.580002
12105,6,28.615002
12105,7,29.024002
12105,8,29.073002
12107,6,28.538002
12107,7,28.909002
12107,8,28.869001
12109,6,28.246002
12109,7,28.911001
12109,8,28.751001
12111,6,28.119001
12111,7,28.753002
12111,8,28.761002
12113,6,28.469201799999997
12113,7,29.176
12113,8,29.097002
12115,6,28.330002
12115,7,28.788002
12115,8,28.989002
12117,6,28.756
12117,7,29.294801599999996
12117,8,29.291002
12119,6,28.292002
12119,7,28.613
12119,8,28.694002
12121,6,28.421001
12121,7,29.007002
12121,8,28.817001
12123,6,27.994001
12123,7,28.672
12123,8,28.609001
12125,6,28.250002
12125,7,28.625002
12125,8,28.595001
12127,6,28.322
12127,7,28.909061549999997
12127,8,28.916136549999994
12129,6,28.286001
12129,7,28.844002
12129,8,28.849
12131,6,28.265001
12131,7,28.935001
12131,8,28.868002
12133,6,28.438002
12133,7,28.880001
12133,8,28.803001
13001,6,28.232002
13001,7,29.1664505
13001,8,28.8612005
13003,6,28.306002
13003,7,28.983002
13003,8,28.726002
13005,6,28.198002
13005,7,29.155
13005,8,28.927002
13007,6,28.408
13007,7,29.001001
13007,8,28.800001
13009,6,27.973001
13009,7,29.265001
13009,8,28.793150849999996
13011,6,26.406002
13011,7,27.934002
13011,8,27.240002
13013,6,27.154350649999998
13013,7,28.4025511
13013,8,27.803001
13015,6,26.449001
13015,7,27.653002
13015,8,27.527
13017,6,28.19437915
13017,7,29.064001
13017,8,28.800001
13019,6,28.087002
13019,7,28.779001
13019,8,28.590002
13021,6,28.090901999999996
13021,7,29.152002
13021,8,28.802001800000003
13023,6,28.175001
13023,7,29.180002
13023,8,28.835001
13025,6,28.092270699999997
13025,7,29.036700299999996
13025,8,28.666701999999997
13027,6,28.261002
13027,7,28.763
13027,8,28.631
13029,6,28.602001
13029,7,29.496002
13029,8,29.027
13031,6,28.529150849999994
13031,7,29.402002
13031,8,28.987001
13033,6,28.160002
13033,7,29.229002
13033,8,28.756
13035,6,27.293001
13035,7,28.364002
13035,8,28.1300005
13037,6,28.197
13037,7,28.750002
13037,8,28.559002
13039,6,28.178001
13039,7,29.078001
13039,8,28.677002
13043,6,28.504002
13043,7,29.320940699999998
13043,8,29.023
13045,6,26.223001
13045,7,27.423002
13045,8,27.13735065
13047,6,26.713300699999998
13047,7,27.9019997
13047,8,27.8467014
13049,6,28.412
13049,7,29.201002
13049,8,28.963001
13051,6,28.505001
13051,7,29.500002
13051,8,29.046001
13053,6,27.87
13053,7,28.898
13053,8,28.567001
13055,6,26.009
13055,7,27.385002
13055,8,27.277
13057,6,26.223001
13057,7,27.425001
13057,8,27.228
13059,6,27.233850949999997
13059,7,28.470001
13059,8,27.9087485
13061,6,28.0642404
13061,7,28.681002
13061,8,28.553001
13063,6,27.294
13063,7,28.324150699999997
13063,8,28.0471503
13065,6,28.224
13065,7,28.947
13065,8,28.748001
13067,6,26.725
13067,7,27.8951
13067,8,27.667002
13069,6,28.344002
13069,7,29.13506155
13069,8,28.881
13071,6,28.580002
13071,7,29.077002
13071,8,28.956001
13073,6,27.794
13073,7,29.076002
13073,8,28.500002
13075,6,28.466801099999994
13075,7,29.067001
13075,8,28.868002
13077,6,26.640001
13077,7,27.736002
13077,8,27.401001
13079,6,27.830002
13079,7,28.815
13079,8,28.478
13081,6,28.587002
13081,7,29.276001
13081,8,28.965002
13083,6,25.51845155
13083,7,26.778251750000003
13083,8,26.779250750000003
13085,6,25.216002
13085,7,26.522001
13085,8,26.247002
13087,6,28.936
13087,7,29.365002
13087,8,29.201002
13089,6,27.252
13089,7,28.362001
13089,8,28.059002
13091,6,28.2740014
13091,7,29.166002
13091,8,28.855001
13093,6,28.431002
13093,7,29.078001
13093,8,28.771601399999998
13095,6,28.564001
13095,7,29.168001
13095,8,29.035002
13097,6,26.775002
13097,7,27.930002
13097,8,27.673802000000002
13099,6,28.613
13099,7,29.074001
13099,8,28.972002
13101,6,28.326002
13101,7,28.956001
13101,8,28.816002
13103,6,28.629002
13103,7,29.552002
13103,8,29.075
13105,6,26.773
13105,7,28.2427515
13105,8,27.656002
13107,6,28.383001
13107,7,29.322
13107,8,29.04
13109,6,28.5279402
13109,7,29.368002
13109,8,29.013
13111,6,23.809002
13111,7,25.026900100000002
13111,8,24.94
13113,6,26.835001
13113,7,27.896101899999998
13113,8,27.622002
13115,6,26.471
13115,7,27.772001
13115,8,27.60751995
13117,6,26.132002
13117,7,27.422
13117,8,27.105001
13119,6,26.843
13119,7,28.244001
13119,8,27.621002
13121,6,26.959002
13121,7,28.0440996
13121,8,27.797
13123,6,24.575
13123,7,25.825
13123,8,25.691301699999997
13125,6,27.716251749999998
13125,7,28.955002
13125,8,28.395
13127,6,28.428950049999994
13127,7,29.390001
13127,8,28.941002
13129,6,26.374
13129,7,27.722002
13129,8,27.512001
13131,6,28.371002
13131,7,28.831879999999998
13131,8,28.719002
13133,6,27.555002
13133,7,28.853
13133,8,28.268002
13135,6,26.835001
13135,7,28.047
13135,8,27.660002
13137,6,25.160002
13137,7,26.460001
13137,8,25.983002
13139,6,26.129002
13139,7,27.499
13139,8,27.012400600000003
13141,6,27.633001
13141,7,28.902
13141,8,28.408
13143,6,25.633001
13143,7,26.824001
13143,8,26.538002
13145,6,27.309002
13145,7,28.390001
13145,8,28.16800025
13147,6,27.102001
13147,7,28.4558006
13147,8,27.7796004
13149,6,26.841002
13149,7,27.731
13149,8,27.475
13151,6,27.220001
13151,7,28.282001
13151,8,27.993002
13153,6,28.222002
13153,7,29.158
13153,8,28.8389
13155,6,28.238801599999995
13155,7,29.090002
13155,8,28.761002
13157,6,26.915
13157,7,28.251001
13157,8,27.628002
13159,6,27.243002
13159,7,28.409
13159,8,28.118002
13161,6,28.255001
13161,7,29.127
13161,8,28.883001
13163,6,28.046001
13163,7,29.187002
13163,8,28.706001
13165,6,28.319002
13165,7,29.309002
13165,8,28.915
13167,6,28.124
13167,7,29.256551099999996
13167,8,28.786001
13169,6,27.639002
13169,7,28.835001
13169,8,28.47918065
13171,6,27.288002
13171,7,28.297
13171,8,28.037551099999998
13173,6,28.4224509
13173,7,29.023
13173,8,28.849
13175,6,28.217001
13175,7,29.379002
13175,8,28.958002
13177,6,28.538002
13177,7,29.173002
13177,8,28.992801599999996
13179,6,28.607002
13179,7,29.496002
13179,8,29.064001
13181,6,27.527
13181,7,28.87418
13181,8,28.3084509
13183,6,28.619001
13183,7,29.5275402
13183,8,29.129002
13185,6,28.462002
13185,7,29.085001
13185,8,28.958002
13187,6,24.80710075
13187,7,26.008001
13187,8,25.816002
13189,6,27.709002
13189,7,28.9884509
13189,8,28.354002
13191,6,28.544
13191,7,29.539001
13191,8,29.098001
13193,6,28.091002
13193,7,28.889002
13193,8,28.624
13195,6,26.820002
13195,7,28.235
13195,8,27.642002
13197,6,27.543699599999997
13197,7,28.508001
13197,8,28.1092005
13199,6,26.800001
13199,7,27.86
13199,8,27.590002
13201,6,28.785002
13201,7,29.155801599999997
13201,8,29.062801999999998
13205,6,28.471
13205,7,28.973001
13205,8,28.847002
13207,6,27.628002
13207,7,28.694002
13207,8,28.386002
13209,6,28.367
13209,7,29.296001
13209,8,28.9647515
13211,6,27.338001
13211,7,28.496002
13211,8,28.0443507
13213,6,26.125002
13213,7,27.467001
13213,8,27.257002
13215,6,28.288002
13215,7,29.365002
13215,8,29.035351649999996
13217,6,27.276001
13217,7,28.397001
13217,8,28.038002
